"stanox","tiploc"
38155,"BRKNEWR"
38200,"BRKNHDC"
38151,"BRKNHDN"
38153,"BRKNHDP"
"00000","BRKNIOM"
38155,"BRKNMUD"
38155,"BRKNUDS"
68145,"BRKRJUN"
44100,"BRKSTEJ"
44379,"BRKSTSJ"
"09437","BRKTNL"
86046,"BRKWDCE"
86044,"BRKWDLE"
86041,"BRKWOOD"
87170,"BRLANDS"
17101,"BRLEYPK"
18471,"BRLYJN"
18469,"BRLYWJN"
38218,"BRMB"
38216,"BRMBRK"
29177,"BRMCRSS"
"08632","BRMHILL"
"08631","BRMHSJN"
18654,"BRMLYSR"
64414,"BRMOUTH"
13302,"BRMPTNC"
13301,"BRMPTNF"
67004,"BRMS463"
67003,"BRMSGRV"
67002,"BRMSUGL"
"00000","BRNAMKT"
52057,"BRNBYJ"
"07005","BRNCHTN"
31561,"BRNDANJ"
31562,"BRNDASJ"
31553,"BRNDFHH"
31563,"BRNDLHS"
31552,"BRNDRTS"
32064,"BRNGTN"
88393,"BRNH532"
88423,"BRNHPSJ"
88422,"BRNHRST"
81914,"BRNKNOL"
50304,"BRNMONC"
30012,"BRNNICI"
30013,"BRNNVCM"
30015,"BRNNZHS"
72261,"BRNSSDG"
"00000","BRNSTBS"
72260,"BRNSTLT"
83222,"BRNSTPL"
"00000","BRNSTPS"
"00000","BRNSTSA"
73671,"BRNTDS"
73672,"BRNTFDT"
73670,"BRNTFHH"
73676,"BRNTGLC"
47201,"BRNWJBP"
48066,"BRNYARM"
"00000","BRNZETT"
36602,"BROADGR"
87629,"BROCKLY"
"01123","BRODIE"
57109,"BROHLME"
"00000","BROKGTS"
88500,"BROM617"
52252,"BROMBLT"
88482,"BROMLYN"
88477,"BROMLYS"
88506,"BRONLPT"
79099,"BROOME"
"01021","BRORA"
"01022","BRORACE"
"01021","BRORALC"
"01021","BRORDLC"
"00000","HLWYRLT"
19211,"BROUGH"
19210,"BROUXO"
"08008","BROWDPL"
"08007","BROWNCE"
"08007","BROWNHJ"
"08007","BROWUPL"
51720,"BROXBNJ"
51721,"BROXBNR"
51722,"BROXBRN"
47701,"BROXCGB"
51725,"BROXDPL"
54196,"HRNS433"
51726,"BROXS12"
51726,"BROXS14"
51727,"BROXS30"
51724,"BROXS31"
51723,"BROXS53"
"08645","BRRHL"
"03038","BRRYLNK"
35022,"BRSCGHB"
30157,"BRSCGHJ"
"07553","BRSDE"
89474,"BRSR"
15658,"REDGBRF"
81404,"BRSS242"
81703,"BRSS423"
81300,"BRSS442"
"00000","BRSTAIR"
81433,"BRSTBRT"
81513,"BRSTEDC"
81511,"BRSTEDT"
81851,"BRSTFLT"
81704,"BRSTHLS"
81609,"BRSTKFL"
81434,"BRSTLBH"
81432,"BRSTLCW"
81512,"BRSTLED"
81690,"BRSTLEJ"
81608,"BRSTLKR"
81700,"BRSTLTM"
81812,"BRSTLWJ"
81800,"BRSTMD"
81700,"BRSTMHL"
81526,"BRSTMJD"
81527,"BRSTMJG"
81700,"BRSTOUT"
81700,"BRSTPL2"
81108,"BRSTPUS"
81109,"BRSTPWY"
81702,"BRSTSPU"
"00000","BRSTSTA"
81610,"BRSTSTE"
33013,"BRTDGBF"
33011,"BRTDRCB"
21001,"BRTHMBR"
55499,"BRTJYC"
13554,"BRTLYJN"
48055,"BRTNFRM"
38037,"BRTPNT"
50331,"BRTWOOD"
51952,"BRUCGRV"
48215,"BRUNDAL"
48216,"BRUNDLG"
"04635","BRUSTAN"
82299,"BRUTON"
"00855","BRUXFOR"
"00850","BRUXMID"
"00000","BRWCGAL"
12002,"BRWCKGL"
12001,"BRWCKUT"
12000,"BRWCNDS"
14007,"BRWHBEJ"
14001,"BRWHBNJ"
14002,"BRWHBWJ"
14003,"BRWHINS"
65320,"BRWNASG"
65319,"BRWNHLS"
81424,"BRWRRTS"
35394,"BRYN"
10195,"BRYSTNS"
"00000","BSAUEJN"
15826,"BSAUKLD"
15828,"BSAUWCP"
15827,"BSAUWEA"
65007,"BSBYJDG"
65006,"BSBYJN"
65703,"BSCTBRS"
65708,"BSCTCJN"
65705,"BSCTESD"
65712,"BSCTHS"
65709,"BSCTJN"
65713,"BSCTSPT"
65701,"BSCTSS"
65707,"BSCTSTA"
65702,"BSCTTMD"
65710,"BSCTUDG"
65706,"BSCTULP"
65711,"BSCTURQ"
65714,"BSCTUYD"
65700,"BSCTYD"
"06305","BSDN"
"00000","BSEAFST"
"06443","BSHB"
47501,"BSHPSCH"
47413,"BSHPSCS"
47412,"BSHPSFD"
47411,"BSHPSFY"
47414,"BSHPSUL"
86055,"BSNG105"
86050,"BSNG106"
86053,"BSNG109"
86057,"BSNG112"
86067,"BSNG114"
86052,"BSNGBME"
86058,"BSNGDES"
86065,"BSNGSBM"
86063,"BSNGSDR"
86066,"BSNGSEB"
86060,"BSNGSNY"
86066,"BSNGSTK"
86064,"BSNGSUR"
86066,"BSNGW30"
86062,"BSNGW34"
86062,"BSNGW36"
83020,"BSPSGBR"
"00000","BSPSHIT"
83014,"BSPSLYD"
88238,"BSSN"
"00000","BSSNBUS"
"00000","CRUMPSL"
89404,"BSTD"
46308,"BSTED19"
46303,"BSTEDCM"
46305,"BSTEDGL"
46302,"BSTEDMR"
46301,"BSTEDMS"
46306,"BSTEFHH"
46307,"BSTETAR"
64234,"BSTNGF"
64234,"BSTNHQ"
55111,"BSTWDPJ"
"00000","BTCHBUS"
87090,"BTCHUCE"
87085,"BTCHWTH"
"00000","BTGBJN"
"07333","BTHG031"
"04010","BTHGATE"
"07332","BTHGCSD"
"07330","BTHGEJ"
"04012","BTHGMAT"
"04009","BTHGTC"
42414,"BTHLYJN"
"00000","BTHM202"
75356,"BTHM502"
75356,"BTHMPTJ"
52744,"BTHNLGE"
52740,"BTHNLGN"
52739,"BTHNLGR"
52742,"BTHNLGW"
65345,"BTLRSLA"
50309,"BTLSBDG"
23027,"BTLYJN"
23115,"BTLYSY"
23201,"BTLYXO"
57731,"BTNULH"
57725,"BTNUNMD"
57727,"BTNUNNJ"
57726,"BTNUNSJ"
15511,"BTRSBY"
25512,"BTSD174"
25513,"BTSDLOP"
25511,"BTSDSJN"
83709,"BUCFAST"
48213,"BUCKNHM"
"00000","BUCVBUS"
"00000","BUDESTD"
85231,"BUGLE"
85230,"BUGLROC"
79080,"BUILTHR"
55116,"BULWELL"
55115,"BULWLSJ"
"04844","BUMOUTH"
"00000","BUNT"
50109,"BURES"
87971,"BURGESH"
17045,"BURLYIW"
29043,"BURNLYB"
29041,"BURNLYC"
29005,"BURNMR"
29006,"BURNTTL"
86223,"BURSLDN"
57800,"BURTBCJ"
57721,"BURTBJN"
57703,"BURTNEY"
57715,"BURTNLJ"
57704,"BURTNMH"
57705,"BURTNMS"
57712,"BURTNOT"
57702,"BURTNRP"
57706,"BURTNWY"
57710,"BURTWJN"
57711,"BURTWS"
"00000","BURY"
31020,"BURYELR"
"07613","BUSBY"
"07234","BUSBYJ"
72003,"BUSHEY"
72001,"BUSHYDC"
"00309","BUSTARZ"
12210,"BUTRFHH"
12208,"BUTRGBF"
12209,"BUTROCT"
12121,"BUTRWLJ"
56513,"BUTTMRC"
48999,"BUURSTN"
34202,"BUXTDMU"
"00000","BUXTMP"
34202,"BUXTNHS"
34203,"BUXTNO1"
34201,"BUXTON"
34199,"BUXTURS"
56124,"BWEL726"
56125,"BWEL727"
56126,"BWELDBS"
56123,"BWELFHH"
56129,"BWELLSJ"
"00000","BWLGJN"
88421,"BXLYHTH"
87768,"BXTD"
86022,"BYFLANH"
86021,"BYFLETJ"
79054,"BYNEA"
"08398","BYREHJ"
51948,"BYSTJN"
"02115","CAARMNT"
"06452","CADDER"
78721,"CADOB9"
78720,"CADOEWS"
78719,"CADOXTN"
41027,"CAERGWL"
"00000","CAEUPK"
"00000","CAEUSQU"
76082,"CAEWBJ"
"00716","CALACA"
"00715","CALACE"
"00709","CALAEES"
"00718","CALAFCR"
"00719","CALAFD"
"00712","CALAFGB"
"00711","CALAFGV"
"00717","CALAFL"
"00713","CALAFT"
"00000","CALAISM"
"00707","CALATSH"
"00729","CALAVGV"
43430,"CALDNLB"
43432,"CALDONL"
"00000","CALLNRD"
"00000","CALNSTR"
84209,"CALSTCK"
70333,"CALVADV"
70331,"CALVERT"
70332,"CALVFHH"
47225,"CAMB147"
47228,"CAMB149"
47234,"CAMB164"
47225,"CAMB180"
47232,"CAMB540"
47227,"CAMB708"
47218,"CAMBCE"
47233,"CAMBCGF"
47215,"CAMBDCS"
47221,"CAMBDGE"
47222,"CAMBDHS"
47221,"CAMBDNJ"
47223,"CAMBDSJ"
47238,"CAMBECD"
47230,"CAMBGTC"
47217,"CAMBSTE"
47229,"CAMBTGB"
47215,"CAMBTMD"
"00000","CAMBTRD"
47231,"CAMBYFL"
"05037","CAMELON"
52738,"CAMHTH"
"00000","CAMVBUS"
87578,"CANALJ"
25015,"CANKLOW"
69207,"CANLEY"
"00000","CANNA"
88399,"CANOBAL"
88403,"CANONST"
88398,"CANOSDG"
87607,"CANRDJ"
78519,"CANT637"
"00000","CANTCAR"
78523,"CANTFLT"
78524,"CANTGBR"
78512,"CANTISK"
78514,"CANTNCS"
78520,"CANTONS"
78520,"CANTTMD"
"03247","CAPELDR"
"00000","CAPLBAN"
85713,"CARBISB"
78451,"CARD410"
78453,"CARD430"
78452,"CARD510"
77224,"CARDCAV"
77093,"CARDCSS"
77098,"CARDDOC"
78456,"CARDFBR"
77100,"CARDFDW"
77105,"CARDFHH"
78451,"CARDFQS"
77223,"CARDFRS"
29008,"HALL319"
77090,"CARDFTS"
77106,"CARDGBF"
77080,"CARDGBR"
77102,"CARDRFW"
77304,"CARDRIV"
77101,"CARDRYN"
78521,"CARDTVS"
77302,"CARDUGL"
"07432","CARFIN"
"00000","CARICOS"
11331,"CARK"
"09180","CARL404"
"09153","CARL464"
"09153","CARL465"
"09153","CARL467"
"00000","CARL996"
"00000","CARL997"
"00000","CARL998"
"00000","CARL999"
"09155","CARLAME"
"09196","CARLAPC"
"09147","CARLBGS"
"09193","CARLBJN"
"09144","CARLBRU"
"09159","CARLCJN"
"09190","CARLCUR"
"09142","CARLCWL"
"09162","CARLDRS"
"09171","CARLFD"
"09163","CARLHFH"
"09160","CARLHWS"
"09161","CARLILE"
"09150","CARLILY"
"09161","CARLLHS"
"09171","CARLLR"
"09179","CARLLRJ"
"09178","CARLNEC"
"09195","CARLTMD"
"09199","CARLUBJ"
"09197","CARLUES"
"09194","CARLUJG"
"09198","CARLUJN"
"09195","CARLUMD"
"09195","CARLURS"
"09194","CARLUTG"
"09191","CARLWRD"
"09154","CARLYDR"
"07294","CARMYLE"
52211,"CARPNRC"
52222,"CARPSJN"
"00000","CARPWJN"
"01138","CARRBDG"
"01139","CARRCE"
64312,"CARSWS"
"00000","CARTBEE"
76083,"CARWENT"
16912,"CASTLFD"
"00000","CATE361"
87706,"CATECHS"
87706,"CATERHM"
88311,"CATFBDG"
88469,"CATFORD"
78420,"CATHAYS"
78419,"CATHCE"
16116,"CATTAL"
16115,"CATTHOP"
84417,"CAUSLND"
43502,"CAVRSWL"
"04030","CAWBRNJ"
73272,"CBARPAR"
40071,"CBAY"
89524,"CBE4415"
87766,"CBGH"
87074,"CBHMSDA"
66301,"CBOMCS"
66302,"CBOMDS"
66304,"CBOMJAB"
66293,"CBOMJN"
66303,"CBOMMEB"
85622,"CBORNE"
85621,"CBORRXO"
"00000","CBREA"
87605,"CBRIJN"
16202,"SCARLRE"
82302,"CCARCE"
82301,"CCARY"
"04842","CCBNPH"
"04807","CCKN833"
"04816","CCKNFHH"
"04808","CCKNYRD"
"04815","CCKNZPS"
"07238","CCRT"
"07580","CCRTEJN"
"07578","CCRTNJN"
"07579","CCRTWJN"
76078,"CDCOCGF"
76078,"CDCOT"
"06449","CDDR"
"00000","CDDRCES"
"06451","CDDRDPL"
"06450","CDDRUPL"
"03248","CDND"
"07154","CDNL"
"07155","CDNL567"
"00000","CDNL576"
"07153","CDNLJN"
"07156","CDNLNJN"
56515,"CDNRFHH"
56514,"CDNRPFM"
56511,"CDNRPKJ"
56512,"CDNRPSS"
56512,"CDNRT92"
56625,"CDON"
56626,"CDONEDC"
"06113","CDRS"
53206,"CDWL718"
63618,"CEDARJN"
41029,"CEFNYBD"
"00000","CEILYDN"
"00798","CERBERE"
"08736","CESOKWV"
47108,"CESTAZ1"
47109,"CESTAZ2"
47103,"CESTFHH"
47107,"CESTGBR"
47099,"CESTRNJ"
47106,"CESTRTB"
47101,"CESTRTJ"
47105,"CESTRTR"
"07555","CFFT"
17014,"CFLATTS"
33089,"CFLDJN"
88467,"CFPK"
87604,"CFTNRJN"
51313,"CHADHDD"
29032,"CHAFRSS"
"00000","CHAGSCH"
74329,"CHALLOW"
"00785","CHAMCLE"
83225,"CHAPLTN"
89445,"CHARTHM"
"00000","CHARTSD"
33098,"CHASNRD"
89014,"CHATDGB"
89007,"CHATHAM"
89015,"CHATMDY"
74454,"CHBURY"
86426,"CHCHRC2"
86427,"CHCHSOS"
86424,"CHCHSTR"
86425,"CHCHSTY"
32563,"CHDH"
"00000","CHDHNJ"
"00000","CHDHSJ"
32397,"CHDLJN"
70319,"CHDNGTN"
50405,"CHDWHLJ"
50405,"CHDWLHR"
50405,"CHDWLHT"
87678,"CHEAM"
32547,"CHEF"
32583,"CHELFD"
32584,"CHELFDL"
76079,"CHEPEGF"
76079,"CHEPSTW"
"00000","CHERTNJ"
51939,"CHES139"
"00000","CHESCJ7"
51815,"CHESHNT"
82315,"CHETNOL"
27263,"CHFD"
27272,"CHFDS13"
27272,"CHFDS14"
27265,"CHFDSJ"
68151,"CHFIELD"
16495,"CHFN"
12109,"CHHL"
12110,"CHHLCHR"
52728,"CHINCS4"
52730,"CHINCS5"
52731,"CHINGFD"
"00000","CHIPCOK"
"00000","CHIPNEW"
75352,"CHIPNHM"
41407,"CHIRK"
41402,"CHIRKKA"
41406,"CHIRKKN"
41409,"CHIRKWR"
87148,"CHISWCK"
50060,"CHITSHL"
70366,"CHLFNAL"
51011,"CHLKWEL"
50220,"CHLM713"
50220,"CHLMABL"
50218,"CHLMBHC"
50218,"CHLMBPK"
50219,"CHLMDGL"
50223,"CHLMSFD"
50221,"CHLMSFR"
88495,"CHLSFLD"
68080,"CHLT422"
68078,"CHLTALC"
68079,"CHLTLDL"
68076,"CHLTNHM"
68078,"CHLTNHS"
"00000","CHLTRAC"
87082,"CHLWTH"
"08635","CHMS"
"08634","CHMSFHH"
"08636","CHMSRPG"
52219,"CHNELSJ"
52209,"CHNELUL"
34001,"CHNLY"
33998,"CHNLYEJ"
34002,"CHNLYNJ"
33999,"CHNLYSJ"
"00000","CHNOBUS"
"00000","CHNRBVH"
"00000","CHNRESW"
"00000","CHNRLOW"
"00000","CHNRRED"
"00000","CHNRWHT"
74301,"CHOLSEY"
30201,"CHORBUK"
30213,"CHORLEY"
30202,"CHORROF"
29063,"CHOS"
"00000","CHPCMD"
25307,"CHPLTWN"
46277,"CHPNJN"
81011,"CHPSDBY"
50107,"CHPWKSC"
50107,"CHPWKSM"
83468,"CHRDJSB"
86915,"CHRISTC"
"06365","CHRNGXG"
"00000","CHRSBUS"
87948,"CHRSTSH"
89417,"CHRTLCN"
70368,"CHRW"
88401,"CHRX"
88397,"CHRXBAL"
47007,"CHRYHNT"
87710,"CHSD"
88483,"CHSLHRS"
65605,"CHSRD"
"00000","CHSSCCD"
87405,"CHSSN"
87411,"CHSSS"
40320,"CHST"
40313,"CHST106"
40314,"CHST97"
40305,"CHSTBLP"
40312,"CHSTCE"
40306,"CHSTRBL"
40301,"CHSTRCW"
40304,"CHSTRDD"
40320,"CHSTRDT"
40319,"CHSTREJ"
40239,"CHSTRJN"
40320,"CHSTRMY"
40305,"CHSTRNJ"
40238,"CHSTRSJ"
40303,"CHSTRWJ"
40307,"CHSTST"
40320,"CHSTYD"
89486,"CHSW"
46218,"CHTISHM"
"07490","CHTLRT"
"00000","CHTMHCS"
31503,"CHTMHJN"
"03342","CHTNJN"
29162,"CHTR"
86012,"CHTSEY"
43042,"CHTV"
89582,"CHUNCTR"
89734,"CHUNEOB"
"00703","CHUNFRC"
"00705","CHUNFRP"
89645,"CHUNUFB"
89642,"CHUNUKC"
89641,"CHUNUKP"
50225,"CHURCHL"
12116,"CHVNGTN"
79085,"CILMERY"
14034,"CIVI"
"07124","CKHL"
"07125","CKHLCSD"
"07126","CKHLCSJ"
50022,"CLACTCS"
50021,"CLACTON"
87069,"CLANDON"
51938,"CLAPTNJ"
52735,"CLAPTON"
80199,"CLARBRD"
66455,"CLAVRDN"
56000,"CLAYHAS"
57000,"CLAYSTR"
56101,"CLAYXNJ"
56099,"CLAYXS"
79086,"LLWRW2"
50037,"CLCH033"
50038,"CLCH072"
49015,"CLCH138"
49299,"CLCH196"
50050,"CLCH750"
49305,"CLCH751"
49193,"CLCH822"
50341,"GIDE125"
50036,"CLCHEGJ"
50052,"CLCHGL"
50033,"CLCHHCD"
50030,"CLCHHYT"
76253,"ABRGS38"
50041,"CLCHRTN"
50039,"CLCHS16"
50049,"CLCHSTR"
50051,"CLCHSTY"
"00000","CLCHSWY"
50049,"CLCHUCS"
50054,"CLCHUP"
50053,"CLCHUSS"
18054,"CLDBDGJ"
47213,"CLDHMLJ"
52058,"CLDNNRB"
49024,"CLDON"
"07334","CLDRCRX"
"07335","CLDRCXO"
"07433","CLELACE"
"07430","CLELAND"
81259,"CLFDOWN"
88735,"CLFFBM"
88737,"CLFFD12"
14238,"CLFHJN"
"09315","CLFT"
44077,"CLHM"
"01090","CLHY"
58132,"CLIFGBR"
58122,"CLIFHGF"
58121,"CLIFHLS"
58134,"CLIFHSQ"
58133,"CLIFLHH"
28209,"CLIPCJN"
28210,"CLIPFHH"
28211,"CLIPSBC"
29141,"CLITCC"
29142,"CLITFHH"
29139,"CLITHJN"
29143,"CLITHRO"
57606,"CLMLJN"
89443,"CLMN"
82200,"CLNKRDJ"
"03257","CLNYBDJ"
"09015","CLOBURN"
88319,"CLOCKHS"
"00000","CLONMEL"
87701,"CLPH049"
87701,"CLPH122"
87224,"CLPH147"
87219,"CLPH149"
87219,"CLPHCMD"
87209,"CLPHHS"
87219,"CLPHJCS"
87218,"CLPHJKS"
87219,"CLPHJLP"
"04308","ABHLTB"
87219,"CLPHMJC"
87219,"CLPHMJM"
87219,"CLPHMJN"
87219,"CLPHMJW"
87221,"CLPHMYM"
87228,"CLPHMYS"
87206,"CLPHPHS"
87223,"CLPHS47"
87223,"CLPHS49"
44365,"CLPLLP"
11565,"CLPM"
28405,"CLPSTEJ"
28219,"CLPSTSJ"
28326,"CLPSTWJ"
26209,"CLRBROJ"
"07615","CLRKSTN"
86311,"CLRNCEP"
"00000","CLROSS"
66232,"CLSHDCL"
13571,"CLST"
13565,"CLSTOXO"
13573,"CLSTPLA"
21141,"CLTHRPS"
31565,"CLTN"
"01093","CLUNSIB"
"00748","CLVMEZR"
"00000","CLVRTRJ"
55101,"CLVTBC"
67217,"CLWALL"
"06345","CLYBANK"
87189,"CLYGATE"
31342,"CLYHRSS"
31341,"CLYHRST"
80305,"CLYNDRW"
18481,"CLYTNWJ"
82303,"CMAKREL"
78110,"CMBH"
87094,"CMBL4"
87099,"CMBLEY"
"07299","CMBRABT"
"07300","CMBRDRS"
"07301","CMBRNLD"
"07411","CMBSLNG"
"00000","CMCY"
72429,"CMDN200"
72427,"CMDN202"
72423,"CMDN210"
72318,"CMDN801"
72401,"CMDNCSD"
72399,"CMDNCWM"
72398,"CMDNDTS"
72315,"CMDNJN"
72426,"CMDNRCJ"
72421,"CMDNRD"
72421,"CMDNRDJ"
72422,"CMDNREJ"
72431,"CMDNRIJ"
72316,"CMDNSTH"
48007,"CMER"
72319,"CMND610"
"03043","CMPRDNJ"
"00000","CMRD"
"03243","CMRNDCL"
80417,"CMTHDSD"
80419,"CMTHN"
80409,"CMTHNBG"
80411,"CMTHNJ"
80414,"CMTHNSD"
80410,"CMTHWAR"
14216,"CMTRRED"
14215,"CMTRYNH"
"00000","CMUS"
"03377","CMUSLP"
73790,"CNBKBAA"
73792,"CNBKBCI"
73786,"CNBKELF"
73788,"CNBKFY"
73791,"CNBKLAF"
65512,"CNCK"
65507,"CNCKMGF"
65506,"CNCKMOC"
87568,"CNDAW"
87570,"CNDAXO"
"07939","CNESCOS"
"07938","CNESWAT"
52048,"CNNB"
52049,"CNNBELL"
52055,"CNNBYEJ"
52054,"CNNBYWJ"
45185,"CNNGABR"
45190,"CNNGALC"
45175,"CNNGFHH"
45173,"CNNGSJN"
45176,"CNNGTIP"
45177,"CNNGTNL"
"00000","CNRYNP"
"03031","CNST"
"03030","CNSTDS"
89512,"CNTBE"
89520,"CNTBE24"
89510,"CNTBE5"
89505,"CNTBEES"
89446,"CNTBW"
89447,"CNTBW1"
89450,"CNTBW25"
89448,"CNTBWGL"
48211,"CNTLEY"
"07370","MOSEPDS"
"06706","CNTY"
58105,"COALJN"
"07318","COAT250"
"07313","COAT253"
"07320","COAT254"
"07312","COATBDC"
"07315","COATBDJ"
"07331","COATBDS"
"07310","COATDGL"
"07309","COATDRS"
"07329","COATDYK"
"07311","COATFLT"
"04108","COBB"
"04121","COBB712"
"04122","COBB713"
79323,"COCKETW"
"00000","CODFORD"
88269,"CODNBCH"
65034,"CODSALL"
66523,"COFTONS"
78711,"COGAN"
78709,"COGANJ"
83010,"COGLOAD"
88211,"COKSBDG"
46148,"COLDHAM"
66231,"COLESH"
66230,"COLESHL"
83323,"COLFORD"
64227,"COLHACE"
"00000","COLL"
29030,"COLNE"
"00000","COLONSY"
87900,"COLSDNS"
87713,"COLSTWN"
16460,"COLTONJ"
16461,"COLTONN"
16491,"COLTONS"
43329,"COLWHXN"
43328,"COLWICH"
74452,"COMBE"
15513,"COMONDL"
"00000","MINEBUT"
24221,"CONBRGH"
43013,"CONGLTN"
"06046","CONNELF"
17007,"CONOKIL"
17008,"CONONLY"
89732,"CONTJN"
40045,"CONWY"
74013,"COOKHAM"
84415,"COOMBE"
84419,"COOMJGF"
84414,"COOMLAR"
84413,"COOMMOR"
17152,"COPHWJN"
83238,"COPLSTN"
51936,"COPR105"
51937,"COPRMLJ"
29004,"COPYPIT"
60017,"CORB24"
60015,"CORBAUT"
60012,"CORBBSC"
60014,"CORBGFC"
60008,"CORBGRT"
60006,"CORBHSB"
60011,"CORBLEW"
60011,"CORBOAK"
60011,"CORBROC"
60010,"CORBRRL"
60004,"CORBSV"
60011,"CORBTOC"
60011,"CORBY"
60009,"CORBYNJ"
"00000","CORK"
"00000","CORKBIF"
"00000","CORKRNG"
"00000","CORKTIV"
"03167","CORNTLC"
"00000","CORNTON"
"06010","CORPACH"
"06011","CORPCPM"
"06012","CORPFLT"
"06032","CORROCE"
"06031","CORROUR"
75357,"CORSHAM"
"00000","CORSNEW"
78381,"CORYTON"
65807,"COSELEY"
65024,"COSFDGL"
65023,"COSFORD"
65026,"COSFTAM"
65025,"COSFUGL"
86301,"COSHAM"
86302,"COSHAMJ"
26215,"COTAFHH"
26216,"COTAGBF"
26212,"COTAMCW"
26211,"COTAMPS"
17143,"COTNGLY"
64200,"COTONH"
"07994","COVELC"
69206,"COVN517"
69203,"COVNCE"
69111,"COVNCOL"
69115,"COVNCRD"
69308,"COVNGHJ"
69204,"COVNNJN"
69200,"COVNNY"
69205,"COVNPKJ"
69202,"COVNTRY"
69201,"COVNYD"
"00000","COWDBUS"
87761,"COWDEN"
"00000","COWESE"
"00000","COWESTW"
"00000","COWESW"
"00000","COWESWH"
49009,"COWGRNX"
35401,"COWLEYH"
"00000","COWPBUS"
38304,"CPNHRST"
89534,"CPPITSD"
87966,"CPYHLDJ"
65927,"CRADLYH"
12104,"CRAGMIL"
"01130","CRAHALL"
"03005","CRAIGCO"
"03003","CRAIGO"
"03003","CRAIGOC"
89324,"CRANDLP"
82247,"CRANMOR"
76380,"CRAVE16"
76383,"CRAVE19"
76379,"CRAVENA"
76381,"CRAVSDG"
88002,"CRAWFYO"
87931,"CRAWLEY"
88003,"CRAWNYD"
88005,"CRAWRMC"
13318,"CRBG"
10124,"CRCK"
23119,"CRCRFTJ"
"00000","CRDFAIR"
"00000","CRDFBUS"
77301,"CRDFCEN"
77299,"CRDFE"
77225,"CRDFGBF"
78698,"CRDFRBJ"
"00000","CRDFSTD"
77303,"CRDFW"
83321,"CREDITN"
50206,"CRESING"
42122,"CREW142"
42144,"CREW533"
42179,"CREW543"
42146,"CREW551"
"00000","CREW998"
"00000","CREW999"
42155,"CREWBHJ"
42159,"CREWBHM"
42159,"CREWBHN"
42159,"CREWBHS"
42159,"CREWBLS"
42159,"CREWBSS"
42142,"CREWCET"
42135,"CREWDED"
42136,"CREWDHS"
42144,"CREWDRS"
42140,"CREWE"
42145,"CREWECS"
42128,"CREWECY"
42145,"CREWEDL"
42137,"CREWEFP"
42166,"CREWEGL"
42123,"CREWEMD"
42126,"CREWENJ"
42147,"CREWESJ"
"00000","CREWESN"
42117,"CREWESW"
42141,"CREWESY"
42127,"CREWETS"
42158,"CREWEVQ"
42152,"CREWGBV"
42171,"CREWGGN"
42160,"CREWGLR"
42170,"CREWGUL"
42161,"CREWGW1"
42180,"CREWH19"
42157,"CREWH34"
42156,"CREWH36"
42181,"CREWH44"
42169,"CREWL37"
42148,"CREWLNW"
42124,"CREWMDE"
42125,"CREWMRA"
42129,"CREWMRB"
42143,"CREWOCG"
42168,"CREWPAD"
42151,"CREWPLP"
42163,"CREWPWS"
42015,"CREWSBG"
42165,"CREWSBS"
42130,"CREWSGJ"
42143,"CREWSJN"
42139,"CREWSSN"
42138,"CREWSYC"
42140,"CREWUDL"
42016,"CREWUML"
42121,"CREWWKS"
42121,"CREWWKX"
"00000","CREWWLC"
42162,"CREWWSC"
88464,"CRFD"
88497,"CRFD542"
88465,"CRFDCKJ"
88440,"CRFDSPA"
88436,"CRFDSPB"
88389,"CRFDSPR"
18035,"CRFTDEP"
18033,"CRFTESP"
18034,"CRFTNEJ"
18037,"CRFTNWJ"
"06114","CRGD963"
"06110","CRGDRCE"
"06111","CRGDRN"
"06112","CRGDRNJ"
15683,"CRGHLSB"
15682,"CRGHSC1"
"02105","CRGICBC"
"00000","CRGICCE"
"02101","CRGICHY"
"02102","CRGIDRS"
"02104","CRGIFHH"
"02107","CRGISTH"
36087,"LVRPGBR"
"04522","CRGNFHH"
"04521","CRGNTNY"
"04518","CRGNTPS"
"04517","CRGNTYJ"
"00000","CRGURE"
53246,"CRHL"
14226,"CRHRTLP"
64503,"CRICCTH"
70079,"CRIKGF"
52707,"CRISTSJ"
63300,"CRKL2GL"
63297,"CRKL539"
63400,"CRKLDPT"
63410,"CRKLFHH"
63299,"CRKLGBR"
63412,"CRKLLAF"
63408,"CRKLNLF"
63404,"CRKLRTS"
63298,"CRKLSCS"
63301,"CRKLUGL"
63401,"CRKLWCJ"
63405,"CRKLWD"
63402,"CRKLWDJ"
63300,"CRKLWRL"
63300,"CRKLWRS"
63406,"CRKLWSJ"
83470,"CRKRN"
"07955","CRLK"
88515,"CRLN"
88514,"CRLNJN"
88518,"CRLNXOV"
"04689","CRLORTJ"
23498,"CRLTOTL"
"03341","CRMBRND"
12136,"CRMLNGT"
"04023","CRMN579"
"04023","CRMN581"
"04023","CRMNDNJ"
"05019","CRMRSEJ"
"05017","CRMRSWJ"
33090,"CRNBRKJ"
11525,"CRNF"
11524,"CRNFCES"
11531,"CRNFDSG"
11515,"CRNFFMJ"
11526,"CRNFNJN"
11529,"CRNFPD"
11527,"CRNFRHS"
11523,"CRNFRTC"
"00000","CRNFSHS"
11522,"CRNFSTM"
11519,"CRNFUGL"
11530,"CRNFUPL"
11528,"CRNFVQ"
89408,"CRNG"
89564,"CRNGX"
"06063","CRNLAME"
