"stanox","tiploc"
87965,"ARDNGLY"
"08200","ARDRSDS"
"08208","ARDRSHB"
"08198","ARDRSSB"
"08204","ARDRSTN"
32009,"ARDWCK"
32009,"ARDWCKJ"
32045,"ARDWICK"
32009,"ARDWKEJ"
32042,"ARDWKEY"
32043,"ARDWTMD"
"07259","ARGYLST"
"06004","ARISAIG"
"06003","ARISCE"
"07149","ARKLSTE"
"07147","ARKLSTJ"
"07148","ARKLSTW"
23225,"ARKSEYL"
"00000","ARKW"
"00000","ARLEY"
"00865","ARLON"
53205,"ARLSCAD"
53201,"ARLSEY"
"00000","ARMADLE"
"07324","ARMDALE"
43335,"ARMITAG"
17136,"ARMLJCN"
"09415","ARMTHWT"
11403,"ARNSIDE"
35533,"ARPLEYJ"
35550,"ARPLEYS"
35549,"ARPLHOL"
35550,"ARPLSHS"
35546,"ARPLYFA"
19019,"ARRAM"
87958,"ARUNDEL"
87959,"ARUNDLJ"
"00000","ARUNLRD"
32518,"ASBRDGE"
87098,"ASCO501"
87095,"ASCO504"
87092,"ASCO506"
87096,"ASCODS"
87103,"ASCOT"
74463,"ASCTUWD"
87117,"ASFDMSX"
"06245","ASFIELD"
59119,"ASFRDBY"
32052,"ASHBAWS"
32051,"ASHBEWS"
32049,"ASHBFHH"
32050,"ASHBREJ"
32050,"ASHBRSB"
32051,"ASHBRSY"
32048,"ASHBRWJ"
32050,"ASHBRYS"
68074,"ASHC453"
68071,"ASHCHRC"
68073,"ASHCMOD"
68075,"ASHCWGF"
68072,"ASHCWTF"
87683,"ASHD"
89434,"ASHF119"
"00000","ASHF871"
"00000","ASHF878"
89438,"ASHFAJN"
89572,"ASHFCEJ"
89422,"ASHFCR"
89566,"ASHFCWJ"
89420,"ASHFDNS"
89421,"ASHFDYW"
89419,"ASHFEBS"
89430,"ASHFEJN"
89427,"ASHFKDY"
89425,"ASHFKGR"
89428,"ASHFKI"
89424,"ASHFKPD"
89428,"ASHFKY"
89418,"ASHFUPS"
89423,"ASHFWJN"
12213,"ASHGTNJ"
87014,"ASHH"
87015,"ASHH331"
35202,"ASHIMKS"
35202,"ASHIMSB"
81829,"ASHJ335"
81821,"ASHJGAT"
81823,"ASHJN"
81822,"ASHJNCE"
37223,"ASHLEY"
32115,"ASHONUL"
32117,"ASHTMNJ"
"00000","ASHUBUS"
87765,"ASHUJN"
87763,"ASHURST"
87041,"ASHVALE"
53011,"ASHWELC"
11225,"ASKAM"
18103,"ASKRNLC"
44517,"ASLCKTN"
29181,"ASLYBJN"
62051,"ASPLEYG"
"09226","ASPTBRA"
10021,"ASPTRIA"
31747,"ASTLEY"
65651,"ASTON"
65650,"ASTOSTJ"
"01076","ATADALE"
35139,"ATHERTN"
"00841","ATHH"
82307,"ATHLNEY"
69009,"ATHRSTN"
69032,"ATLB431"
69031,"ATLB533"
69023,"ATLBRJN"
69020,"ATLBRNJ"
69024,"ATLBSHI"
55202,"ATNBRO"
55203,"ATNBROJ"
48501,"ATTLBON"
25623,"ATTREWS"
25622,"ATTRFHH"
25624,"ATTRMGS"
"03151","AUCHTDR"
"03152","AUCHTER"
47321,"AUDLEYE"
"09016","AULDGTH"
"00746","AULNOYE"
"00000","AVEBRED"
"01137","AVIEA29"
"01140","AVIEDRS"
"01144","AVIEMRE"
"01142","AVIEMRS"
"01141","AVIEURS"
"00783","AVIGCMT"
"00783","AVIGVIL"
82073,"AVNCLFF"
81250,"AVONADV"
81249,"AVONAFL"
81233,"AVONBEF"
81228,"AVONBEN"
81234,"AVONBHF"
81235,"AVONBHT"
81231,"AVONCT"
